 20.57 37.15 29.66 24.60 18.60 27.74 29.23 19.35 36.60 27.82 11.91 30.35 18.73 33.37 18.23 27.01 28.47 31.00 22.81 20.04 26.48 30.95 18.67 18.44 27.00 24.83 19.45 20.95 19.09 27.14
 16.61 33.19 25.29 20.47 15.61 24.13 24.73 15.15 32.47 23.74 7.55 26.42 14.74 29.48 15.47 22.62 23.68 27.13 19.57 16.73 23.04 27.59 14.82 15.44 23.23 20.87 16.98 17.35 16.37 23.44
 12.57 29.10 20.70 16.02 12.52 20.34 20.16 11.10 28.03 19.45 2.95 22.55 10.90 25.34 12.58 18.43 18.81 23.08 16.31 13.55 19.56 24.14 11.18 12.35 19.38 16.79 14.22 13.86 13.61 19.79
 8.86 24.86 16.25 12.10 9.85 16.95 15.84 7.44 24.01 15.76 -0.98 18.95 7.37 21.38 10.18 14.38 13.92 19.40 13.54 10.67 16.37 21.18 7.92 9.71 15.88 12.95 12.04 10.89 11.23 16.48
 5.76 21.09 12.57 8.71 7.62 13.97 12.44 4.70 20.49 12.38 -4.29 16.13 4.54 17.93 8.28 11.16 9.80 16.25 11.66 8.61 14.00 18.95 5.77 7.61 13.06 9.60 10.00 8.56 9.45 13.68
 3.20 17.30 9.23 5.84 5.94 11.58 9.39 2.56 17.65 9.89 -6.58 13.59 2.49 15.01 7.06 8.38 6.16 13.68 10.13 7.20 12.04 17.16 4.02 5.98 10.66 7.02 8.97 6.85 8.43 11.47
 0.72 13.71 6.40 3.32 4.46 9.42 6.99 0.71 14.70 7.38 -8.62 11.46 0.62 12.13 5.90 5.99 2.76 11.34 9.43 5.97 10.56 15.84 2.95 4.78 8.52 4.38 7.76 5.31 7.58 9.51
 -1.20 10.85 4.05 1.14 3.28 7.76 5.18 -0.53 13.10 5.96 -10.52 9.89 -0.90 9.86 5.18 4.16 0.05 9.59 9.25 5.28 9.56 15.24 2.38 3.82 7.23 2.60 7.29 4.57 7.06 8.32
 -2.89 7.70 2.20 -0.62 2.49 6.46 3.83 -1.49 11.24 4.55 -11.43 8.58 -1.94 7.76 4.85 2.61 -2.49 8.28 9.50 4.95 8.86 15.10 2.30 3.21 6.08 0.73 6.91 4.01 7.28 7.23
 -3.87 5.50 1.20 -1.65 1.98 5.68 3.20 -1.75 10.56 4.09 -11.68 7.90 -2.36 6.46 4.71 1.89 -3.88 7.44 10.06 5.09 8.70 15.20 2.83 2.85 5.67 -0.16 6.98 4.10 7.58 6.92
 -4.83 3.33 0.29 -2.61 1.62 5.04 2.84 -1.86 9.76 3.57 -11.69 7.20 -2.52 5.15 4.78 1.25 -5.18 6.61 10.85 5.25 8.64 15.54 3.53 2.56 5.28 -1.15 7.10 4.17 8.16 6.59
